,note_name,start_time,duration,velocity,tempo
0,G6,0.01,0.766,67,126.0
1,C5,0.01,1.019,67,126.0
2,D6,0.776,0.745,62,126.0
3,G5,1.029,0.99,63,126.0
4,G6,1.522,0.468,62,126.0
5,B6,2.021,0.739,65,126.0
6,C6,2.021,0.99,65,126.0
7,A6,2.761,0.743,62,126.0
8,G5,3.012,0.987,63,126.0
9,G6,3.505,0.494,62,126.0
10,G6,4.004,0.771,67,126.0
11,G4,4.004,1.024,67,126.0
12,D6,4.776,0.745,62,126.0
13,D5,5.029,0.99,63,126.0
14,G6,5.522,0.468,62,126.0
15,B6,6.021,0.739,65,126.0
16,G5,6.021,0.99,65,126.0
17,A6,6.761,0.743,62,126.0
18,D5,7.012,0.987,63,126.0
19,G6,7.505,0.494,62,126.0
20,G6,8.004,0.771,67,126.0
21,D4,8.004,1.024,67,126.0
22,D6,8.776,0.745,62,126.0
23,A4,9.029,0.99,63,126.0
24,B6,9.522,0.468,62,126.0
25,C7,10.021,0.739,65,126.0
26,D5,10.021,0.99,65,126.0
27,B6,10.761,0.743,62,126.0
28,A4,11.012,0.987,63,126.0
29,G6,11.505,0.465,62,126.0
30,A6,12.004,0.771,67,126.0
31,E4,12.004,1.024,67,126.0
32,G6,12.776,0.745,62,126.0
33,B4,13.029,0.99,63,126.0
34,F#6,13.522,0.468,62,126.0
35,G6,14.021,0.468,65,126.0
36,E5,14.021,0.99,65,126.0
37,F#6,14.519,0.463,62,126.0
38,G6,15.012,0.235,63,126.0
39,B4,15.012,0.987,63,126.0
40,F#6,15.263,0.227,62,126.0
41,D6,15.505,0.227,62,126.0
42,A5,15.747,0.237,62,126.0
43,G5,16.004,0.771,67,126.0
44,C4,16.004,1.024,67,126.0
45,D5,16.776,0.745,62,126.0
46,G4,17.029,0.99,63,126.0
47,G5,17.522,0.468,62,126.0
48,B5,18.021,0.739,65,126.0
49,C5,18.021,0.99,65,126.0
50,A5,18.761,0.743,62,126.0
51,G4,19.012,0.987,63,126.0
52,G5,19.505,0.494,62,126.0
53,G5,20.004,0.771,67,126.0
54,G3,20.004,1.024,67,126.0
55,D5,20.776,0.745,62,126.0
56,D4,21.029,0.99,63,126.0
57,D6,21.522,0.468,62,126.0
58,G5,22.021,0.99,65,126.0
59,G4,22.021,1.979,65,126.0
60,D5,23.012,0.987,63,126.0
61,D5,24.004,1.024,90,126.0
62,F#5,24.004,1.024,90,126.0
63,D6,24.004,1.024,90,126.0
64,D1,24.004,3.995,84,126.0
65,D2,24.004,3.995,84,126.0
66,D3,25.029,0.236,89,126.0
67,F#3,25.281,0.226,88,126.0
68,A3,25.522,0.227,88,126.0
69,D4,25.765,0.24,88,126.0
70,F#4,26.021,0.241,91,126.0
71,A4,26.277,0.226,88,126.0
72,D5,26.519,0.227,88,126.0
